74.8298,44.2139,67.2555,21.1103,40.7708,16.1701,62.6789,37.2140,52.3923,40.2367,20.4442,39.7262,17.4109,29.4798,30.2999,66.6189,65.9154,62.6018,20.4577,66.1596,20.9225,54.1307,29.5125,44.6820,19.2176,50.6522,67.0942,16.2918,39.0507,16.4352,50.0279,15.8677,17.6502,15.4728,20.9566,31.9678,66.4801,53.0084,21.1382,16.0597,28.8861,20.8758,52.1901,21.4517,65.6652,29.9624,29.4755,54.3021,64.2575,28.8389,15.4183,20.4372,67.4441,51.2264,67.2785,52.0150,29.8323,20.1615,29.4940,49.4629,66.8760,28.3351,14.5994,19.7259,45.5840,50.9328,41.8982
77.8416,45.8082,70.1583,23.2244,42.2091,17.7775,65.5718,38.7688,54.4913,41.8000,22.4839,41.2815,19.1631,32.4159,33.3198,69.5785,68.7945,65.4835,22.4924,69.1084,23.0089,56.1453,32.4547,46.1741,21.1418,52.6924,70.0005,17.8432,40.6759,18.0432,52.0619,17.4547,19.3857,17.0214,23.0356,35.1626,69.4261,55.0384,23.2335,17.6731,31.7835,22.9255,54.2148,23.5865,68.6263,32.9514,32.4144,56.3569,66.3372,31.7371,16.9693,22.4612,70.3770,53.2095,70.2460,54.0403,32.8158,22.1788,32.4387,51.4933,69.7983,31.1800,16.0402,21.7141,47.2152,52.9834,43.5258
80.8503,47.4043,73.0596,25.3369,43.6671,19.3744,68.4648,40.3251,56.5902,43.3750,24.5231,42.8419,20.9189,35.3494,36.3325,72.5317,71.6727,68.3619,24.5202,72.0592,25.1040,58.1599,35.4010,47.7181,23.0625,54.7215,72.9089,19.3915,42.3078,19.6593,54.0951,19.0294,21.1176,18.5727,25.1144,38.3553,72.3720,57.0741,25.3253,19.2844,34.6881,24.9688,56.2443,25.7257,71.5877,35.9337,35.3506,58.4152,68.4137,34.6348,18.5317,24.4827,73.3117,55.1913,73.2093,56.0656,35.7997,24.1838,35.3749,53.5251,72.7159,34.0313,17.4724,23.7098,48.8539,55.0267,45.1418
83.8575,49.0024,75.9629,27.4499,45.1468,20.9608,71.3571,41.8847,58.6923,44.9859,26.5587,44.4247,22.6791,38.2801,39.3415,75.4805,74.5557,71.2381,26.5574,75.0094,27.2000,60.1759,38.3467,49.2819,24.9795,56.7524,75.8155,20.9398,43.9369,21.2677,56.1198,20.5650,22.8456,20.1231,27.1898,41.5443,75.3138,59.1113,27.4074,20.8945,37.5896,27.0251,58.2763,27.8694,74.5467,38.9170,38.2810,60.4672,70.4802,37.5324,20.0924,26.5027,76.2440,57.1744,76.1706,58.0925,38.7801,26.1903,38.3035,55.5606,75.6317,36.8865,18.9140,25.7077,50.5040,57.0709,46.7576
86.8642,50.6068,78.8711,29.5633,46.6355,22.5437,74.2482,43.4505,60.8041,46.5623,28.5880,46.0316,24.4360,41.2138,42.3488,78.4380,77.4412,74.1116,28.5966,77.9605,29.2938,62.1936,41.2878,50.8595,26.8945,58.7814,78.7239,22.5173,45.5572,22.8721,58.1385,22.1145,24.5621,21.6721,29.2623,44.7260,78.2507,61.1524,29.4845,22.5075,40.4897,29.0833,60.3036,30.0200,77.5054,41.9028,41.2040,62.5154,72.5452,40.4297,21.6253,28.5272,79.1759,59.1623,79.1302,60.1190,41.7574,28.1936,41.2386,57.6009,78.5486,39.7474,20.3822,27.7084,52.1662,59.1154,48.3697
89.8715,52.2174,81.7805,31.6652,48.1296,24.1227,77.1410,45.0154,62.9236,48.1057,30.6111,47.6196,26.1790,44.1453,45.3520,81.3947,80.3297,76.9847,30.6372,80.9118,31.3887,64.2175,44.2289,52.4389,28.8084,60.8145,81.6338,24.1062,47.1820,24.4747,60.1540,23.6938,26.2658,23.2158,31.3284,47.9026,81.1822,63.1965,31.5558,24.1245,43.3919,31.1323,62.3376,32.1668,80.4620,44.8867,44.1240,64.5535,74.6128,43.3238,23.1361,30.5472,82.1059,61.1459,82.0871,62.1470,44.7333,30.1950,44.1694,59.6439,81.4646,42.6169,21.8569,29.7169,53.8261,61.1605,49.9956
92.8772,53.8299,84.6905,33.7608,49.6322,25.6848,80.0333,46.5743,65.0310,49.6598,32.6343,49.2072,27.9141,47.0796,48.3530,84.3511,83.2160,79.8580,32.6799,83.8687,33.4868,66.2419,47.1743,54.0180,30.7231,62.8469,84.5436,25.7154,48.7984,26.0685,62.1696,25.2897,27.9686,24.7589,33.3896,51.0743,84.1106,65.2401,33.6167,25.7437,46.2878,33.1920,64.3692,34.3046,83.4135,47.8693,47.0426,66.5813,76.6835,46.2180,24.6331,32.5635,85.0370,63.1308,85.0414,64.1751,47.7072,32.1985,47.0993,61.6910,84.3775,45.4871,23.3503,31.7282,55.4823,63.2005,51.6095
95.8828,55.4361,87.6024,35.8558,51.1313,27.2334,82.9269,48.0917,67.1330,51.1955,34.6533,50.8044,29.6549,50.0160,51.3578,87.3168,86.1022,82.7336,34.7265,86.8232,35.5873,68.2670,50.1164,55.5749,32.6380,64.8775,87.4510,27.3236,50.3983,27.6496,64.1865,26.8970,29.6663,26.3035,35.4429,54.2440,87.0356,67.2893,35.6681,27.3623,49.1887,35.2495,66.3908,36.4408,86.3670,50.8588,49.9607,68.6020,78.7613,49.1134,26.1441,34.5772,87.9642,65.1158,87.9968,66.2022,50.6795,34.2173,50.0280,63.7420,87.2921,48.3666,24.8553,33.7374,57.1343,65.2393,53.2417
98.8870,57.0351,90.5106,37.9502,52.6293,28.7817,85.8217,49.5898,69.2393,52.6835,36.6727,52.3931,31.3958,52.9547,54.3592,90.2802,88.9892,85.6096,36.7713,89.7826,37.6886,70.2933,53.0582,57.1356,34.5574,66.9171,90.3597,28.9093,51.9969,29.2413,66.2088,28.4992,31.3663,27.8519,37.4926,57.4084,89.9604,69.3386,37.7164,28.9809,52.0859,37.3001,68.4061,38.5654,89.3202,53.8549,52.8763,70.6249,80.8370,52.0088,27.6958,36.5855,90.8916,67.0978,90.9529,68.2295,53.6561,36.2370,52.9535,65.7901,90.2058,51.2505,26.3511,35.7522,58.7923,67.2743,54.8648
101.8890,58.6317,93.4144,40.0425,54.1253,30.3251,88.7174,51.1035,71.3457,54.2021,38.6950,53.9808,33.1530,55.8923,57.3549,93.2494,91.8799,88.4863,38.8134,92.7449,39.7913,72.3187,55.9997,58.6994,36.4808,68.9614,93.2669,30.4964,53.5931,30.8271,68.2248,30.0901,33.0740,29.4027,39.5379,60.5700,92.8798,71.3887,39.7650,30.5967,54.9920,39.3515,70.4224,40.6858,92.2750,56.8489,55.7913,72.6475,82.9131,54.9047,29.2849,38.5891,93.8230,69.0760,93.9081,70.2572,56.6318,38.2590,55.8738,67.8341,93.1180,54.1337,27.8588,37.7695,60.4518,69.3066,56.4771
104.8871,60.2266,96.3149,42.1370,55.6090,31.8521,91.6123,52.6281,73.4498,55.7558,40.7239,55.5843,34.9022,58.8266,60.3489,96.2270,94.7674,91.3636,40.8583,95.7101,41.8936,74.3386,58.9410,60.2648,38.4110,71.0051,96.1714,32.1080,55.1767,32.4280,70.2393,31.6733,34.7855,30.9534,41.5825,63.7261,95.7988,73.4394,41.8144,32.2097,57.8972,41.3978,72.4382,42.8031,95.2308,59.8381,58.7069,74.6762,84.9860,57.8036,30.9212,40.5913,96.7544,71.0539,96.8605,72.2818,59.6047,40.2822,58.7868,69.8760,96.0302,57.0220,29.3758,39.7907,62.1189,71.3374,58.0930
107.8819,61.8196,99.2148,44.2366,57.1070,33.3875,94.5066,54.1484,75.5528,57.3116,42.7579,57.1962,36.6480,61.7597,63.3351,99.2025,97.6541,94.2380,42.9152,98.6728,43.9916,76.3531,61.8833,61.8429,40.3442,73.0514,99.0737,33.7170,56.7476,34.0341,72.2453,33.2414,36.4994,32.5085,43.6240,66.8757,98.7147,75.4922,43.8688,33.8237,60.8043,43.4377,74.4569,44.9222,98.1869,62.8284,61.6204,76.7110,87.0561,60.7051,32.6012,42.5925,99.6836,73.0282,99.8119,74.3079,62.5792,42.3041,61.7020,71.9171,98.9440,59.9202,30.8754,41.8163,63.7939,73.3670,59.7119
